Symptom_Duration;Severity;Sudden;Operational_impact;Repeatability;Predictability;Failure;Device_Type;Risk_Score;Priority_Level;Alert_Massage;Maintenance_Strategy;AI-Status;AI_Recommendation
7;3;0;4;3;3;1;Viscometer;10;High;High-risk equipment: immediate action required;Predictive Maintenance;Critical;Immediate Maintenance Required
0;3;1;4;0;1;1;EDX;8;High;High-risk equipment: immediate action required;Continuous Monitoring;Critical;Immediate Maintenance Required
7;2;0;3;2;2;1;Flash Point;7;Medium;Moderate risk: inspection should be scheduled;Preventive Maintenance;Warning;Schedule Inspection
0;2;1;3;1;2;1;Distillation;7;Medium;Moderate risk: inspection should be scheduled;Preventive Maintenance;Warning;Schedule Inspection
1;2;1;3;1;2;1;Pour point;7;Medium;Moderate risk: inspection should be scheduled;Preventive Maintenance;Warning;Schedule Inspection
7;2;0;3;2;2;1;Flash Point;7;Medium;Moderate risk: inspection should be scheduled;Preventive Maintenance;Warning;Schedule Inspection
7;3;1;4;3;3;1;Flash Point;11;High;High-risk equipment: immediate action required;Predictive Maintenance;Critical;
7;2;1;3;2;2;1;Distillation;8;High;High-risk equipment: immediate action required;Predictive Maintenance;Critical;
1;1;1;2;1;2;1;Pour point;5;Medium;Moderate risk: inspection should be scheduled;Preventive Maintenance;Warning;
7;2;0;3;2;2;1;Flash Point;7;Medium;Moderate risk: inspection should be scheduled;Preventive Maintenance;Warning;
;;;;;;;;;;;;;
0;0;0;0;0;1;0;Viscometer;Risk_Score;;;Maintenance_Strategy;AI-Status;AI_Recommendation
0;0;0;0;0;1;0;EDX;0;;;Normal Operation;Normal;Continue Normal Operation
0;0;0;0;0;1;0;Flash Point;0;;;Normal Operation;Normal;Continue Normal Operation
0;0;0;0;0;1;0;Distillation;0;;;Normal Operation;Normal;Continue Normal Operation
0;0;0;0;0;1;0;Pour point;0;;;Normal Operation;Normal;Continue Normal Operation
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
"ÊİÓíÑ AI_Recommendation
íÊØáÈ ÕíÇäÉ İæÑíÉ: Immediate Maintenance Required
íÍÊÇÌ İÍÕ ãÌÏæá: Schedule Inspection
ÇÓÊãÑ İí ÇáÊÔÛíá ÇáØÈíÚí: Schedule Inspection";;;;;;"ÔÑÍ ÇáÇÚãÏÉ:
Ai_Recommendation: ÇáÊæÕíÉ ÇáäåÇÆíÉ ãä ÇáĞßÇÁ ÇáÇÕØäÇÚí
AI-Status: ÍÇáÉ ÇáÌåÇÒ ( ÍÑÌ , ÊÍĞíÑ , ØÈíÚí )
Maintenane_Strategy: ÇÓÊÑÇÊíÌíÉ ÇáÕíÇäÉ ÇáãŞÊÑÍÉ
Risk_Score: ÏÑÌÉ ÇáÎØæÑÉ ãä 0 - 10
Divice_Type: äæÚ ÇáÌåÇÒ
Failure: åá íæÌÏ ÚØá ¿ (1=äÚã , 0=áÇ)
Predictabilty: ŞÇÈáíÉ ÇáÊäÈÄ ( 1 ãäÎİÖ , 3 ÚÇáí )
Repeatabilty: ŞÇÈáíÉ ÇáÊßÑÇÑ ( 0=ãäÎİÖ , 3=ÚÇáí)
";;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
